,Player Name,Pos,Salary,Team,Opp,Proj FP,Actual FP,Batting Order (Confirmed)
0,Kodai Senga,SP,10600,NYM,WAS,17.4,15.8,
1,Freddy Peralta,SP,10100,MIL,DET,21.6,30.5,
2,Sandy Alcantara,SP,9900,MIA,@ATL,16.4,16.6,
3,Bryce Elder,SP,9400,ATL,MIA,16.7,5.8,
4,Domingo German,SP,9200,NYY,@MIN,14.4,16.7,
5,Taijuan Walker,SP,9200,PHI,SEA,14.4,6.8,
6,Logan Gilbert,SP,9100,SEA,@PHI,16.4,10.4,
7,Hunter Brown,RP,9000,HOU,@TB,15.0,33.4,
8,Anthony DeSclafani,SP,8600,SF,STL,13.4,21.3,
9,Tanner Houck,SP,8400,BOS,@BAL,13.5,3.8,
10,Michael Wacha,SP,8300,SD,@CHC,13.4,12.3,
11,Yusei Kikuchi,SP,8200,TOR,CWS,15.5,29.8,
12,German Marquez,SP,7900,COL,@CLE,11.4,6.1,
13,Kenta Maeda,SP,7800,MIN,NYY,13.3,-17.1,
14,Michael Kopech,SP,7600,CWS,@TOR,11.1,5.3,
15,Tyler Wells,SP,7500,BAL,BOS,12.9,23.8,
16,MacKenzie Gore,SP,7500,WAS,@NYM,12.5,31.9,
17,Drew Smyly,SP,7300,CHC,SD,12.9,12.3,
18,Tony Gonsolin,SP,7000,LAD,@PIT,13.0,6.5,
19,Patrick Sandoval,SP,6500,LAA,OAK,16.4,21.6,
20,Michael Lorenzen,RP,6100,DET,@MIL,11.6,5.3,
21,Steven Matz,SP,6000,STL,@SF,15.8,5.6,
22,Roansy Contreras,SP,5700,PIT,LAD,12.3,25.1,
23,Calvin Faucher,RP,5300,TB,HOU,7.0,2.7,
24,Luis Medina,SP,5000,OAK,@LAA,8.2,2.7,
0,Ronald Acuna Jr.,OF,6500,ATL,MIA,9.4,18.0,1
1,Aaron Judge,OF,6400,NYY,@MIN,9.5,23.0,2
2,Shohei Ohtani,1B,6400,LAA,OAK,11.4,21.0,3
4,Randy Arozarena,OF,6200,TB,HOU,8.2,2.0,3
5,Rafael Devers,3B,6100,BOS,@BAL,8.5,0.0,2
6,Trea Turner,SS,6100,PHI,SEA,8.8,3.0,2
7,Vladimir Guerrero Jr.,1B,6000,TOR,CWS,10.1,16.0,3
8,Paul Goldschmidt,1B,6000,STL,@SF,8.9,36.0,2
9,Bo Bichette,SS,5900,TOR,CWS,9.4,28.0,2
10,Mike Trout,OF,5900,LAA,OAK,11.5,4.0,2
11,Pete Alonso,1B,5900,NYM,WAS,8.7,0.0,4
12,Jose Ramirez,3B,5800,CLE,COL,9.4,14.0,3
13,Julio Rodriguez,OF,5800,SEA,@PHI,8.8,14.0,1
15,Kyle Tucker,OF,5700,HOU,@TB,9.8,5.0,3
16,Matt Chapman,3B,5600,TOR,CWS,8.3,9.0,4
17,Willy Adames,SS,5600,MIL,DET,8.5,0.0,3
18,Matt Olson,1B,5600,ATL,MIA,7.9,14.0,2
19,Fernando Tatis Jr.,OF,5600,SD,@CHC,10.8,12.0,1
20,Cedric Mullins,OF,5500,BAL,BOS,9.1,17.0,1
21,Kyle Schwarber,OF,5500,PHI,SEA,8.3,5.0,3
22,Nolan Arenado,3B,5500,STL,@SF,7.8,0.0,4
23,Adley Rutschman,C,5400,BAL,BOS,8.2,6.0,2
25,Bryan Reynolds,OF,5400,PIT,LAD,7.9,7.0,2
26,Austin Riley,3B,5400,ATL,MIA,7.6,7.0,3
28,Wander Franco,SS,5300,TB,HOU,7.8,0.0,2
29,Juan Soto,OF,5300,SD,@CHC,8.1,0.0,2
30,Luis Robert Jr.,OF,5200,CWS,@TOR,9.2,3.0,3
32,Yandy Diaz,1B,5200,TB,HOU,7.4,0.0,1
33,Mookie Betts,2B,5200,LAD,@PIT,9.8,0.0,1
34,J.T. Realmuto,C,5200,PHI,SEA,7.6,8.0,6
36,Christian Yelich,OF,5100,MIL,DET,8.5,6.0,1
37,Ian Happ,OF,5100,CHC,SD,7.5,3.0,3
38,Xander Bogaerts,SS,5100,SD,@CHC,7.7,5.0,4
39,Freddie Freeman,1B,5100,LAD,@PIT,9.9,17.0,2
42,Ryan Mountcastle,1B,5000,BAL,BOS,7.3,3.0,4
45,Hunter Renfroe,OF,5000,LAA,OAK,9.0,23.0,5
47,Brandon Lowe,2B,5000,TB,HOU,7.3,2.0,4
48,Dansby Swanson,SS,5000,CHC,SD,7.6,0.0,2
49,Starling Marte,OF,5000,NYM,WAS,8.7,5.0,2
51,George Springer,OF,4900,TOR,CWS,9.6,4.0,1
52,Sean Murphy,C,4900,ATL,MIA,6.7,3.0,4
53,Thairo Estrada,2B,4900,SF,STL,8.6,18.0,2
54,Alec Bohm,1B,4900,PHI,SEA,6.1,5.0,7
55,Seiya Suzuki,OF,4900,CHC,SD,7.3,5.0,4
56,Jazz Chisholm Jr.,OF,4900,MIA,@ATL,8.7,14.0,1
57,Gleyber Torres,2B,4800,NYY,@MIN,6.7,23.0,5
58,Kris Bryant,OF,4800,COL,@CLE,6.9,8.0,3
59,Francisco Lindor,SS,4800,NYM,WAS,8.2,0.0,3
60,Nick Castellanos,OF,4800,PHI,SEA,7.3,26.0,4
62,Anthony Rizzo,1B,4700,NYY,@MIN,7.6,14.0,3
63,Steven Kwan,OF,4700,CLE,COL,8.2,9.0,1
64,Brandon Marsh,OF,4700,PHI,SEA,6.7,5.0,5
65,Ty France,1B,4700,SEA,@PHI,7.8,0.0,2
67,Joey Gallo,1B,4600,MIN,NYY,7.1,16.0,5
68,Carlos Correa,SS,4600,MIN,NYY,7.7,0.0,2
69,Andrew McCutchen,OF,4600,PIT,LAD,6.7,5.0,3
70,Jorge Soler,OF,4600,MIA,@ATL,6.7,2.0,3
71,Teoscar Hernandez,OF,4600,SEA,@PHI,7.7,0.0,5
72,Manny Machado,3B,4600,SD,@CHC,8.1,5.0,3
73,Alex Verdugo,OF,4500,BOS,@BAL,7.2,7.0,1
74,C.J. Cron,1B,4500,COL,@CLE,6.8,0.0,4
76,Ozzie Albies,2B,4500,ATL,MIA,6.9,9.0,6
77,Alex Bregman,3B,4500,HOU,@TB,7.8,4.0,4
78,Taylor Ward,OF,4500,LAA,OAK,9.6,6.0,1
80,Masataka Yoshida,OF,4400,BOS,@BAL,7.3,14.0,4
81,Amed Rosario,SS,4400,CLE,COL,7.5,8.0,2
82,Andres Gimenez,2B,4400,CLE,COL,7.6,14.0,6
83,Patrick Wisdom,3B,4400,CHC,SD,6.7,4.0,7
84,Nolan Gorman,2B,4400,STL,@SF,8.0,5.0,3
85,Lars Nootbaar,OF,4400,STL,@SF,8.5,2.0,1
88,Rowdy Tellez,1B,4300,MIL,DET,8.4,9.0,4
91,Luis Arraez,2B,4300,MIA,@ATL,6.8,0.0,4
93,Ke'Bryan Hayes,3B,4300,PIT,LAD,6.9,6.0,1
94,Willson Contreras,C,4300,STL,@SF,7.1,5.0,5
95,Garrett Cooper,1B,4300,MIA,@ATL,6.7,7.0,2
96,Ryan McMahon,2B,4200,COL,@CLE,6.7,3.0,5
97,Daulton Varsho,OF,4200,TOR,CWS,8.9,6.0,5
99,Nico Hoerner,2B,4200,CHC,SD,8.1,10.0,1
100,Brandon Nimmo,OF,4200,NYM,WAS,8.8,2.0,1
101,Jeremy Pena,SS,4200,HOU,@TB,7.7,8.0,2
103,Anthony Rendon,3B,4200,LAA,OAK,7.7,8.0,4
106,Connor Joe,1B,4100,PIT,LAD,6.3,0.0,6
107,Bryson Stott,2B,4100,PHI,SEA,7.1,12.0,1
108,J.D. Davis,3B,4100,SF,STL,7.3,2.0,4
110,Nelson Cruz,1B,4100,SD,@CHC,6.5,5.0,5
111,DJ LeMahieu,3B,4000,NYY,@MIN,6.3,2.0,4
113,James Outman,OF,4000,LAD,@PIT,9.0,0.0,4
115,Cal Raleigh,C,4000,SEA,@PHI,7.1,4.0,6
116,Gio Urshela,1B,4000,LAA,OAK,7.3,3.0,7
117,Brendan Donovan,1B,4000,STL,@SF,6.3,2.0,8
118,Rodolfo Castro,SS,4000,PIT,LAD,6.0,21.0,7
119,Justin Turner,1B,3900,BOS,@BAL,7.1,7.0,3
120,Anthony Volpe,SS,3900,NYY,@MIN,7.4,24.0,1
123,Jarred Kelenic,OF,3900,SEA,@PHI,7.9,0.0,3
124,Christian Bethancourt,C,3900,TB,HOU,6.3,0.0,6
125,Michael Conforto,OF,3900,SF,STL,6.7,10.0,3
126,Jake Cronenworth,1B,3900,SD,@CHC,6.4,12.0,6
127,Eugenio Suarez,3B,3900,SEA,@PHI,7.3,6.0,4
128,Jeff McNeil,2B,3900,NYM,WAS,7.0,8.0,6
129,Tyler O'Neill,OF,3900,STL,@SF,7.6,2.0,7
130,Mitch Haniger,OF,3900,SF,STL,7.8,9.0,5
131,Kike Hernandez,2B,3800,BOS,@BAL,5.9,8.0,5
133,Harold Ramirez,OF,3800,TB,HOU,6.6,0.0,5
134,Ji Hwan Bae,2B,3800,PIT,LAD,6.2,30.0,8
135,Chris Taylor,OF,3800,LAD,@PIT,7.0,3.0,7
137,Trevor Larnach,OF,3700,MIN,NYY,6.7,4.0,3
138,Andrew Benintendi,OF,3700,CWS,@TOR,7.0,3.0,5
139,Riley Greene,OF,3700,DET,@MIL,6.4,3.0,2
145,Joey Meneses,1B,3700,WAS,@NYM,7.1,5.0,4
146,Alec Burleson,OF,3700,STL,@SF,6.8,4.0,6
147,Whit Merrifield,2B,3600,TOR,CWS,7.3,15.0,7
148,Josh Bell,1B,3600,CLE,COL,7.1,0.0,5
149,Max Kepler,OF,3600,MIN,NYY,7.4,2.0,1
150,Alejandro Kirk,C,3600,TOR,CWS,7.6,2.0,6
152,Taylor Walls,2B,3600,TB,HOU,5.6,0.0,7
153,Brent Rooker,OF,3600,OAK,@LAA,7.0,4.0,3
155,Brandon Drury,1B,3600,LAA,OAK,8.3,25.0,6
156,Vaughn Grissom,SS,3600,ATL,MIA,6.3,10.0,7
159,Charlie Blackmon,OF,3500,COL,@CLE,6.7,5.0,1
160,Gunnar Henderson,3B,3500,BAL,BOS,7.4,2.0,5
162,Anthony Santander,OF,3500,BAL,BOS,7.4,4.0,3
163,Josh Naylor,1B,3500,CLE,COL,7.5,19.0,4
166,David Villar,2B,3500,SF,STL,6.3,0.0,8
167,Jose Abreu,1B,3500,HOU,@TB,7.2,0.0,5
170,Brian Anderson,3B,3400,MIL,DET,6.9,12.0,5
172,Eloy Jimenez,OF,3400,CWS,@TOR,8.3,0.0,4
173,Jesse Winker,OF,3400,MIL,DET,8.0,6.0,2
175,Mauricio Dubon,2B,3400,HOU,@TB,6.6,5.0,1
176,Carlos Santana,1B,3400,PIT,LAD,5.8,12.0,4
177,Tommy Pham,OF,3400,NYM,WAS,6.6,0.0,7
182,Ramon Urias,2B,3300,BAL,BOS,5.9,20.0,8
183,Javier Baez,SS,3300,DET,@MIL,6.3,2.0,3
185,Wilmer Flores,1B,3300,SF,STL,6.9,16.0,7
187,Kolten Wong,2B,3300,SEA,@PHI,6.8,9.0,8
193,Jack Suwinski,OF,3200,PIT,LAD,6.6,14.0,5
194,Jeimer Candelario,3B,3200,WAS,@NYM,6.7,14.0,3
200,Jake Burger,3B,3100,CWS,@TOR,8.3,0.0,6
202,Christian Vazquez,C,3100,MIN,NYY,5.6,0.0,8
204,Sam Hilliard,OF,3100,ATL,MIA,5.6,0.0,9
205,Shea Langeliers,C,3100,OAK,@LAA,6.3,0.0,7
206,Mark Canha,OF,3100,NYM,WAS,7.1,0.0,5
209,Eduardo Escobar,3B,3100,NYM,WAS,6.6,10.0,8
210,AJ Pollock,OF,3100,SEA,@PHI,6.3,5.0,7
211,Jarren Duran,OF,3000,BOS,@BAL,5.9,6.0,7
212,Andrew Vaughn,1B,3000,CWS,@TOR,8.4,3.0,2
214,Kerry Carpenter,OF,3000,DET,@MIL,6.4,0.0,5
215,Danny Jansen,C,3000,TOR,CWS,7.6,0.0,8
219,Aledmys Diaz,2B,3000,OAK,@LAA,6.2,0.0,6
223,Jurickson Profar,OF,2900,COL,@CLE,6.3,7.0,2
224,Nick Maton,2B,2900,DET,@MIL,5.8,2.0,4
225,Kyle Higashioka,C,2900,NYY,@MIN,5.0,5.0,8
228,Lane Thomas,OF,2900,WAS,@NYM,6.0,7.0,7
229,Jon Berti,2B,2900,MIA,@ATL,6.9,9.0,7
230,Jason Delay,C,2900,PIT,LAD,4.3,17.0,9
231,Edmundo Sosa,3B,2900,PHI,SEA,5.6,10.0,9
233,Ha-Seong Kim,2B,2900,SD,@CHC,6.3,22.0,7
234,Donovan Solano,1B,2800,MIN,NYY,6.0,3.0,6
238,Yan Gomes,C,2800,CHC,SD,5.5,5.0,8
239,Corey Julks,OF,2800,HOU,@TB,6.7,0.0,6
240,Esteury Ruiz,OF,2800,OAK,@LAA,7.9,32.0,1
241,Alex Call,OF,2800,WAS,@NYM,6.6,7.0,1
242,Austin Slater,OF,2800,SF,STL,8.3,17.0,1
243,Blake Sabol,C,2800,SF,STL,5.2,15.0,9
244,J.P. Crawford,SS,2800,SEA,@PHI,5.8,28.0,9
250,Spencer Torkelson,1B,2700,DET,@MIL,5.2,0.0,6
254,Oscar Gonzalez,OF,2700,CLE,COL,6.2,10.0,7
258,Jose Siri,OF,2700,TB,HOU,6.3,0.0,8
259,Jordan Diaz,2B,2700,OAK,@LAA,6.3,0.0,2
260,Keibert Ruiz,C,2700,WAS,@NYM,6.4,7.0,5
261,Jesus Aguilar,1B,2700,OAK,@LAA,6.8,0.0,4
262,Manuel Margot,OF,2700,TB,HOU,5.5,6.0,9
267,Jose Miranda,3B,2600,MIN,NYY,6.7,34.0,4
269,Trey Mancini,1B,2600,CHC,SD,6.2,19.0,5
270,Luis Garcia,2B,2600,WAS,@NYM,6.9,2.0,2
271,Jake Cave,OF,2600,PHI,SEA,5.6,0.0,8
272,Zach Neto,SS,2600,LAA,OAK,6.3,9.0,9
274,David Peralta,OF,2600,LAD,@PIT,6.7,0.0,8
275,Austin Nola,C,2600,SD,@CHC,5.4,0.0,8
276,Ryan O'Hearn,1B,2500,BAL,BOS,5.7,5.0,7
277,Zach McKinstry,2B,2500,DET,@MIL,6.7,0.0,1
278,Jake Rogers,C,2500,DET,@MIL,5.4,5.0,8
279,Oswaldo Cabrera,OF,2500,NYY,@MIN,5.6,9.0,9
282,Elvis Andrus,SS,2500,CWS,@TOR,7.9,0.0,1
283,Isiah Kiner-Falefa,3B,2500,NYY,@MIN,5.6,5.0,7
284,CJ Abrams,SS,2500,WAS,@NYM,5.8,8.0,8
286,LaMonte Wade Jr.,1B,2500,SF,STL,5.5,26.0,6
287,Miguel Vargas,2B,2500,LAD,@PIT,7.2,7.0,5
288,Garrett Hampson,OF,2500,MIA,@ATL,5.2,0.0,9
289,Eric Hosmer,1B,2500,CHC,SD,5.7,3.0,6
290,Eddie Rosario,OF,2500,ATL,MIA,6.1,14.0,5
291,Yainer Diaz,C,2500,HOU,@TB,5.8,5.0,9
293,Marcell Ozuna,OF,2500,ATL,MIA,5.5,3.0,8
298,Adam Frazier,2B,2400,BAL,BOS,6.2,5.0,6
299,Matt Vierling,OF,2400,DET,@MIL,5.1,5.0,9
301,Victor Caratini,C,2400,MIL,DET,6.3,19.0,6
306,Victor Robles,OF,2400,WAS,@NYM,5.1,16.0,9
309,Jake Meyers,OF,2400,HOU,@TB,6.0,0.0,7
311,Jason Heyward,OF,2400,LAD,@PIT,7.0,2.0,3
312,Avisail Garcia,OF,2400,MIA,@ATL,5.8,16.0,5
321,Mike Brosseau,3B,2300,MIL,DET,5.8,3.0,8
323,Akil Baddoo,OF,2300,DET,@MIL,6.0,14.0,7
324,Ezequiel Tovar,SS,2300,COL,@CLE,4.8,5.0,8
326,Connor Wong,C,2300,BOS,@BAL,4.8,0.0,9
328,Willi Castro,OF,2300,MIN,NYY,5.6,4.0,9
329,Willie Calhoun,OF,2300,NYY,@MIN,5.3,10.0,6
330,Cam Gallagher,C,2300,CLE,COL,4.2,0.0,9
333,Dominic Smith,1B,2300,WAS,@NYM,5.5,7.0,6
334,Conner Capel,OF,2300,OAK,@LAA,5.7,8.0,9
336,Matt Thaiss,1B,2300,LAA,OAK,6.5,18.0,8
338,David Hensley,1B,2300,HOU,@TB,5.8,0.0,8
343,Tomas Nido,C,2300,NYM,WAS,4.7,0.0,9
348,Brenton Doyle,OF,2200,COL,@CLE,5.4,0.0,7
350,Brice Turang,2B,2200,MIL,DET,6.4,0.0,7
353,Will Brennan,OF,2200,CLE,COL,5.7,2.0,8
355,Lenyn Sosa,2B,2200,CWS,@TOR,6.0,0.0,8
360,Paul DeJong,SS,2200,STL,@SF,5.6,12.0,9
361,Carlos Perez,C,2200,OAK,@LAA,6.3,2.0,5
377,Triston Casas,1B,2100,BOS,@BAL,5.8,2.0,6
378,Joey Wiemer,OF,2100,MIL,DET,5.4,19.0,9
380,Alan Trejo,2B,2100,COL,@CLE,5.5,3.0,6
387,Kevin Smith,SS,2100,OAK,@LAA,5.3,19.0,8
390,Austin Wynns,C,2100,LAD,@PIT,4.9,3.0,9
403,Santiago Espinal,2B,2000,TOR,CWS,6.1,20.0,9
404,Terrin Vavra,OF,2000,BAL,BOS,5.1,0.0,9
407,Nick Gordon,2B,2000,MIN,NYY,6.2,10.0,7
408,Brian Serven,C,2000,COL,@CLE,4.4,0.0,9
409,Romy Gonzalez,2B,2000,CWS,@TOR,5.8,3.0,9
573,Michael Busch,1B,2000,LAD,@PIT,6.6,0.0,6
576,Jose Azocar,OF,2000,SD,@CHC,5.1,8.0,9
578,Jacob Stallings,C,2000,MIA,@ATL,4.8,0.0,8
