P,C/1B,2B,3B,SS,OF,OF,OF,UTIL
90896-13233,90896-79082,90896-68514,90896-101850,90896-38614,90896-39086,90896-79884,90896-81953,90896-181814,
90896-13233,90896-79082,90896-21853,90896-82555,90896-102438,90896-119297,90896-79884,90896-81953,90896-82530,
90896-13233,90896-79188,90896-21853,90896-79122,90896-38614,90896-39086,90896-119297,90896-21875,90896-82530,
90896-13233,90896-79223,90896-21853,90896-38976,90896-68589,90896-119297,90896-163666,90896-21875,90896-82530,
90896-13233,90896-79082,90896-21853,90896-101850,90896-102438,90896-79125,90896-79884,90896-102282,90896-82530,
90896-13233,90896-79082,90896-97291,90896-101850,90896-38614,90896-39086,90896-79884,90896-21875,90896-79188,
90896-13233,90896-119307,90896-21853,90896-38976,90896-102438,90896-79884,90896-81953,90896-102282,90896-82530,
90896-13233,90896-38321,90896-181814,90896-68522,90896-38614,90896-39086,90896-79125,90896-81953,90896-49523,
90896-13233,90896-79188,90896-21853,90896-38976,90896-102438,90896-39086,90896-21875,90896-102282,90896-82530,
90896-13233,90896-82530,90896-21853,90896-68522,90896-102438,90896-79125,90896-119297,90896-81953,90896-49523,
90896-13233,90896-38321,90896-68514,90896-79122,90896-38614,90896-39086,90896-119297,90896-13909,90896-181814,
90896-13233,90896-17171,90896-21853,90896-119306,90896-68593,90896-82536,90896-119297,90896-21875,90896-82530,
90896-13233,90896-79188,90896-68514,90896-68522,90896-38614,90896-39086,90896-79125,90896-21875,90896-49523,
90896-13233,90896-79082,90896-68514,90896-101850,90896-108450,90896-154711,90896-79884,90896-81953,90896-165693,
90896-13233,90896-79082,90896-68514,90896-38976,90896-68589,90896-79884,90896-163666,90896-81953,90896-97257,
90896-13233,90896-38218,90896-21853,90896-79122,90896-108450,90896-119297,90896-154711,90896-165693,90896-82530,
90896-13233,90896-38218,90896-21853,90896-13719,90896-163674,90896-119297,90896-13229,90896-13262,90896-82530,
90896-13233,90896-38321,90896-181814,90896-38976,90896-38614,90896-39086,90896-163666,90896-102282,90896-68589,
90896-13233,90896-82530,90896-21853,90896-68522,90896-102438,90896-119297,90896-52147,90896-13229,90896-13262,
90896-13233,90896-38321,90896-181814,90896-113309,90896-38614,90896-39086,90896-154711,90896-165693,90896-108450,
90896-13233,90896-82530,90896-68514,90896-68522,90896-102438,90896-82575,90896-79125,90896-102282,90896-49523,
90896-13233,90896-82530,90896-21853,90896-79122,90896-102438,90896-39086,90896-119297,90896-13909,90896-68514,
90896-13233,90896-79082,90896-97291,90896-79122,90896-163674,90896-119297,90896-13229,90896-79884,90896-81953,
90896-13233,90896-21887,90896-163706,90896-13719,90896-38614,90896-39086,90896-21875,90896-102282,90896-79188,
90896-13233,90896-54307,90896-68514,90896-38976,90896-38614,90896-39086,90896-52147,90896-13262,90896-181814,
90896-13233,90896-79082,90896-68514,90896-79122,90896-38614,90896-39086,90896-13909,90896-21875,90896-79188,
90896-13233,90896-82530,90896-21853,90896-82555,90896-102438,90896-39086,90896-119297,90896-21875,90896-81511,
90896-13233,90896-82530,90896-21853,90896-38976,90896-102438,90896-119297,90896-167012,90896-79092,90896-80847,
90896-13233,90896-118120,90896-68514,90896-119437,90896-68593,90896-82536,90896-13854,90896-82652,90896-17171,
90896-13233,90896-119307,90896-181814,90896-102331,90896-38614,90896-39086,90896-79884,90896-81953,90896-38321,
90896-13233,90896-119307,90896-81511,90896-82555,90896-38614,90896-79884,90896-21875,90896-81953,90896-79082,
90896-13233,90896-54307,90896-68514,90896-101850,90896-119349,90896-52147,90896-79884,90896-81953,90896-79082,
90896-13233,90896-54307,90896-68514,90896-38976,90896-68589,90896-119297,90896-52147,90896-13262,90896-79223,
90896-13233,90896-38321,90896-181814,90896-38976,90896-38614,90896-39086,90896-13229,90896-13262,90896-163674,
90896-13233,90896-79188,90896-181814,90896-113309,90896-38614,90896-39086,90896-52147,90896-13229,90896-13262,
90896-13233,90896-79188,90896-181814,90896-38976,90896-68589,90896-39086,90896-163666,90896-21875,90896-79223,
90896-13233,90896-82530,90896-14562,90896-68522,90896-119345,90896-82575,90896-102282,90896-82652,90896-102438,
90896-13233,90896-82530,90896-21853,90896-38976,90896-102438,90896-119297,90896-79263,90896-13854,90896-82652,
90896-13233,90896-79188,90896-181814,90896-38976,90896-38614,90896-39086,90896-79125,90896-184479,90896-49523,
90896-13233,90896-119307,90896-14562,90896-113309,90896-102438,90896-79884,90896-81953,90896-102282,90896-119442,
90896-13233,90896-17171,90896-181814,90896-119306,90896-68593,90896-39086,90896-82536,90896-102282,90896-38614,
90896-13233,90896-82530,90896-21853,90896-38976,90896-102438,90896-79125,90896-163666,90896-102282,90896-68589,
90896-13233,90896-79082,90896-81511,90896-101850,90896-108450,90896-79884,90896-21875,90896-81953,90896-79188,
90896-13233,90896-119307,90896-68514,90896-113309,90896-68593,90896-82536,90896-81953,90896-102282,90896-119442,
90896-13233,90896-38218,90896-181814,90896-113309,90896-38614,90896-119297,90896-79272,90896-82652,90896-38321,
90896-13233,90896-38218,90896-21853,90896-79122,90896-163674,90896-39086,90896-119297,90896-13229,90896-97291,
90896-13233,90896-79188,90896-181814,90896-38976,90896-38614,90896-39086,90896-167012,90896-79092,90896-80847,
90896-13233,90896-38218,90896-21853,90896-79122,90896-68586,90896-119297,90896-167012,90896-79092,90896-80847,
90896-13233,90896-118120,90896-181814,90896-38976,90896-68589,90896-163666,90896-13854,90896-82652,90896-119437,
90896-13233,90896-21887,90896-163706,90896-101850,90896-80462,90896-79884,90896-81953,90896-82652,90896-79082,
90896-13233,90896-79082,90896-68514,90896-79122,90896-68586,90896-13909,90896-79884,90896-81953,90896-101850,
90896-13233,90896-54307,90896-68514,90896-119437,90896-38614,90896-52147,90896-13262,90896-13854,90896-118120,
90896-13233,90896-119442,90896-14562,90896-68522,90896-119345,90896-82575,90896-102282,90896-165693,90896-113309,
90896-13233,90896-13253,90896-14562,90896-101850,90896-119345,90896-79884,90896-81953,90896-13854,90896-79082,
90896-13233,90896-119307,90896-97291,90896-38976,90896-68589,90896-79884,90896-163666,90896-81953,90896-79223,
90896-13233,90896-79188,90896-181814,90896-38976,90896-38614,90896-39086,90896-79263,90896-13854,90896-82652,
90896-13233,90896-82530,90896-21853,90896-38976,90896-108450,90896-154711,90896-102282,90896-165693,90896-102438,
90896-13233,90896-79223,90896-14562,90896-38976,90896-68589,90896-52147,90896-13229,90896-163666,90896-13262,
90896-13233,90896-82530,90896-97291,90896-68522,90896-163674,90896-82575,90896-79125,90896-13229,90896-13262,
90896-13233,90896-79188,90896-68514,90896-38976,90896-38614,90896-39086,90896-163666,90896-97257,90896-68589,
90896-13233,90896-54307,90896-68514,90896-68522,90896-119345,90896-82575,90896-52147,90896-13262,90896-102282,
90896-13233,90896-79223,90896-68514,90896-38976,90896-68589,90896-119297,90896-13909,90896-163666,90896-79122,
90896-13233,90896-13858,90896-181814,90896-68522,90896-119345,90896-82575,90896-79125,90896-82652,90896-38321,
90896-13233,90896-82586,90896-173548,90896-101850,90896-119349,90896-79884,90896-21875,90896-81953,90896-79082,
90896-13233,90896-82530,90896-21853,90896-13719,90896-68586,90896-167012,90896-79092,90896-102282,90896-102438,
90896-13233,90896-82530,90896-21853,90896-119437,90896-102438,90896-119297,90896-163666,90896-97257,90896-68589,
90896-13233,90896-118120,90896-14562,90896-119437,90896-163674,90896-13229,90896-13262,90896-13854,90896-82652,
90896-13233,90896-38218,90896-21853,90896-68522,90896-163674,90896-79125,90896-119297,90896-184479,90896-49523,
90896-13233,90896-119307,90896-81511,90896-82555,90896-68593,90896-82536,90896-119297,90896-21875,90896-17171,
90896-13233,90896-54307,90896-68514,90896-38976,90896-68593,90896-82536,90896-52147,90896-13262,90896-17171,
90896-13233,90896-119442,90896-180208,90896-68522,90896-102438,90896-82575,90896-79125,90896-102282,90896-113309,
90896-13233,90896-79082,90896-21705,90896-101850,90896-163674,90896-79884,90896-81953,90896-79263,90896-82652,
90896-13233,90896-119442,90896-21705,90896-113309,90896-102438,90896-52147,90896-13229,90896-13262,90896-102282,
90896-13233,90896-118120,90896-14562,90896-119437,90896-119345,90896-79884,90896-13854,90896-82652,90896-13253,
90896-13233,90896-118120,90896-14562,90896-119437,90896-102438,90896-13854,90896-102282,90896-82652,90896-119442,
90896-13233,90896-119307,90896-97291,90896-38976,90896-163674,90896-13229,90896-79884,90896-13262,90896-81953,
90896-13233,90896-79188,90896-163706,90896-113309,90896-38614,90896-39086,90896-21875,90896-165693,90896-80462,
90896-13233,90896-79188,90896-97291,90896-38976,90896-163674,90896-39086,90896-13229,90896-13262,90896-21875,
90896-13233,90896-79082,90896-163706,90896-82555,90896-80462,90896-79884,90896-81953,90896-165693,90896-108450,
90896-13233,90896-79188,90896-180208,90896-113309,90896-38614,90896-119318,90896-39086,90896-21875,90896-182167,
90896-13233,90896-79188,90896-81511,90896-113309,90896-108450,90896-39086,90896-154711,90896-21875,90896-165693,
90896-13233,90896-12968,90896-97291,90896-68522,90896-108450,90896-79125,90896-154711,90896-165693,90896-49523,
90896-13233,90896-82530,90896-21853,90896-68522,90896-102438,90896-119318,90896-119297,90896-80847,90896-182167,
90896-13233,90896-79223,90896-97291,90896-38976,90896-68589,90896-119297,90896-13229,90896-13262,90896-163674,
90896-13233,90896-79188,90896-14562,90896-82555,90896-119345,90896-82575,90896-21875,90896-102282,90896-81511,
90896-13233,90896-119307,90896-68514,90896-79122,90896-68593,90896-82536,90896-13909,90896-81953,90896-82530,
90896-13233,90896-54307,90896-68514,90896-38976,90896-102438,90896-52147,90896-13262,90896-102282,90896-82530,
90896-13233,90896-79188,90896-97291,90896-79122,90896-38614,90896-82575,90896-39086,90896-21875,90896-163674,
90896-13233,90896-17171,90896-14562,90896-119306,90896-68593,90896-82536,90896-52147,90896-13229,90896-13262,
90896-13233,90896-79223,90896-68514,90896-38976,90896-108450,90896-154711,90896-163666,90896-165693,90896-68589,
90896-13233,90896-17171,90896-81511,90896-68522,90896-119345,90896-82575,90896-79125,90896-21875,90896-82555,
90896-13233,90896-79188,90896-81511,90896-38976,90896-68589,90896-119297,90896-163666,90896-21875,90896-82555,
90896-13233,90896-54307,90896-68514,90896-82555,90896-108450,90896-52147,90896-154711,90896-13262,90896-12968,
90896-13233,90896-118120,90896-97291,90896-119437,90896-68586,90896-167012,90896-79092,90896-13854,90896-82652,
90896-13233,90896-118120,90896-68514,90896-119437,90896-119349,90896-13909,90896-13854,90896-82652,90896-79122,
90896-13233,90896-17171,90896-68514,90896-119306,90896-68593,90896-82536,90896-119297,90896-13909,90896-79122,
90896-13233,90896-119442,90896-21705,90896-38976,90896-68589,90896-163666,90896-102282,90896-97257,90896-113309,
90896-13233,90896-118120,90896-81511,90896-119437,90896-68593,90896-21875,90896-13854,90896-82652,90896-79188,
90896-13233,90896-82530,90896-21853,90896-119437,90896-102438,90896-79125,90896-102282,90896-184479,90896-49523,
90896-13233,90896-12968,90896-14562,90896-82555,90896-108450,90896-154711,90896-21875,90896-165693,90896-81511,
90896-13233,90896-17171,90896-14562,90896-68522,90896-119345,90896-82575,90896-13229,90896-13262,90896-163674,
90896-13233,90896-49523,90896-21705,90896-68522,90896-163674,90896-79125,90896-52147,90896-13229,90896-13262,
90896-13233,90896-79223,90896-14562,90896-38976,90896-68586,90896-167012,90896-79092,90896-80847,90896-68589,
90896-13233,90896-12968,90896-68514,90896-79122,90896-108450,90896-13909,90896-154711,90896-81953,90896-165693,
90896-13233,90896-79223,90896-14562,90896-38976,90896-68589,90896-79125,90896-163666,90896-184479,90896-49523,
90896-13233,90896-79188,90896-81511,90896-82555,90896-68586,90896-119297,90896-167012,90896-79092,90896-21875,
90896-13233,90896-119442,90896-181814,90896-113309,90896-38614,90896-39086,90896-79272,90896-81953,90896-38321,
90896-13233,90896-79188,90896-181814,90896-79122,90896-38614,90896-39086,90896-13909,90896-79884,90896-97291,
90896-13233,90896-17171,90896-14562,90896-68522,90896-119345,90896-82575,90896-79263,90896-13854,90896-82652,
90896-13233,90896-38321,90896-181814,90896-102331,90896-68586,90896-39086,90896-167012,90896-79092,90896-38614,
90896-13233,90896-119307,90896-97291,90896-79122,90896-68593,90896-82536,90896-119297,90896-81953,90896-163674,
90896-13233,90896-82530,90896-21853,90896-38976,90896-102438,90896-13229,90896-13262,90896-102282,90896-163674,
90896-13233,90896-119442,90896-21705,90896-113309,90896-68586,90896-167012,90896-79092,90896-102282,90896-80847,
90896-13233,90896-49523,90896-97291,90896-68522,90896-163674,90896-82575,90896-79125,90896-79884,90896-79122,
90896-13233,90896-82530,90896-85504,90896-82574,90896-102438,90896-85261,90896-81953,90896-102282,90896-21853,
90896-13233,90896-49523,90896-21705,90896-68522,90896-68589,90896-79125,90896-79263,90896-13854,90896-82652,
90896-13233,90896-54307,90896-68514,90896-68522,90896-38614,90896-79125,90896-52147,90896-13262,90896-49523,
90896-13233,90896-38321,90896-21705,90896-102331,90896-38614,90896-39086,90896-79263,90896-82652,90896-181814,
90896-13233,90896-49523,90896-14562,90896-68522,90896-68586,90896-79125,90896-167012,90896-79092,90896-80847,
90896-13233,90896-12968,90896-97291,90896-79122,90896-108450,90896-13229,90896-154711,90896-79884,90896-163674,
90896-13233,90896-82530,90896-21853,90896-38976,90896-102438,90896-119297,90896-135218,90896-184479,90896-49523,
90896-13233,90896-118120,90896-163706,90896-119437,90896-80462,90896-81953,90896-13854,90896-165693,90896-82652,
90896-13233,90896-82530,90896-21853,90896-79122,90896-163674,90896-82575,90896-119297,90896-13909,90896-97291,
90896-13233,90896-165571,90896-181814,90896-38976,90896-38614,90896-39086,90896-82589,90896-21637,90896-38321,
90896-13233,90896-21887,90896-163706,90896-113309,90896-80462,90896-119297,90896-102282,90896-165693,90896-119442,
90896-13233,90896-119442,90896-21705,90896-113309,90896-102438,90896-79125,90896-102282,90896-184479,90896-49523,
90896-13233,90896-17171,90896-21705,90896-82555,90896-68593,90896-82536,90896-79263,90896-13854,90896-82652,
90896-13233,90896-37983,90896-181814,90896-119437,90896-38614,90896-39086,90896-163666,90896-97257,90896-38321,
90896-13233,90896-165571,90896-21853,90896-38976,90896-102438,90896-119297,90896-82589,90896-21637,90896-82530,
90896-13233,90896-79082,90896-163706,90896-119306,90896-80462,90896-79884,90896-102282,90896-165693,90896-101850,
90896-13233,90896-17171,90896-68514,90896-119306,90896-68593,90896-82536,90896-154711,90896-165693,90896-108450,
90896-13233,90896-54307,90896-102301,90896-113309,90896-68586,90896-52147,90896-79092,90896-13262,90896-68514,
90896-13233,90896-13858,90896-181814,90896-82555,90896-108450,90896-119297,90896-154711,90896-165693,90896-38321,
90896-13233,90896-12968,90896-102415,90896-13719,90896-163674,90896-13229,90896-13262,90896-82652,90896-97291,
90896-13233,90896-17171,90896-68514,90896-38976,90896-68593,90896-82536,90896-163666,90896-97257,90896-68589,
90896-13233,90896-38321,90896-181814,90896-119437,90896-38614,90896-39086,90896-135218,90896-184479,90896-49523,
90896-13233,90896-13858,90896-181814,90896-38976,90896-68589,90896-119297,90896-163666,90896-97257,90896-38321,
90896-13233,90896-54307,90896-68514,90896-113309,90896-38614,90896-39086,90896-52147,90896-13909,90896-79188,
90896-13233,90896-119442,90896-81511,90896-119437,90896-102438,90896-39086,90896-21875,90896-102282,90896-79188,
90896-13233,90896-54307,90896-68514,90896-82555,90896-68593,90896-82536,90896-52147,90896-81953,90896-119307,
90896-13233,90896-79188,90896-81511,90896-82555,90896-102438,90896-79884,90896-21875,90896-102282,90896-82530,
90896-13233,90896-79223,90896-180208,90896-38976,90896-68589,90896-119318,90896-119297,90896-80847,90896-182167,
90896-13233,90896-119307,90896-163706,90896-79122,90896-80462,90896-79884,90896-81953,90896-165693,90896-21887,
90896-13233,90896-49523,90896-163706,90896-68522,90896-80462,90896-79125,90896-119297,90896-184479,90896-165693,
90896-13233,90896-37983,90896-14562,90896-68522,90896-119345,90896-82575,90896-163666,90896-97257,90896-82530,
90896-13233,90896-54307,90896-68514,90896-113309,90896-102438,90896-82575,90896-52147,90896-102282,90896-119442,
90896-13233,90896-21887,90896-163706,90896-38976,90896-68589,90896-163666,90896-81953,90896-97257,90896-13719,
90896-13233,90896-79188,90896-85504,90896-82574,90896-38614,90896-39086,90896-85261,90896-80847,90896-181814,
90896-13233,90896-118120,90896-102301,90896-119437,90896-68586,90896-81953,90896-13854,90896-82652,90896-13304,
90896-13233,90896-118120,90896-173548,90896-119437,90896-119349,90896-81953,90896-13854,90896-82652,90896-82586,
